alcaldia,colonia,direccion,nivel,cct,escuela,aefcm,sectei,sobse
GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA,"CALLE BLAS BALCARCEL Y LUIS DE LA ROSA S/N, COLONIA CONSTITUCION DE LA REPUBLICA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07460, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0063T,ESCUELA SECUNDARIA ÁNGEL MIRANDA BASURTO,x,,
VENUSTIANO CARRANZA,VALLE GOMEZ,"CALLE PLOMO NO. 195, COLONIA VALLE GOMEZ, ALCALDÍA VENUSTIANO CARRANZA, C.P. 15210, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0089A,ESCUELA SECUNDARIA REPÚBLICA DE ECUADOR,x,,
VENUSTIANO CARRANZA,NICOLAS BRAVO,"CALLE 14, COBRE Y CANANEA S/N, COLONIA NICOLAS BRAVO, ALCALDÍA VENUSTIANO CARRANZA, C.P. 15220, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0104C,ESCUELA SECUNDARIA EZEQUIEL A. CHÁVEZ,x,,
TLALPAN,EL ARENAL TEPEPAN,"CALLE TLALPAN Y CAMINO A TEPEPAN S/N, COLONIA EL ARENAL TEPEPAN, ALCALDÍA TLALPAN, C.P. 14000, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0125P,ESCUELA SECUNDARIA PABLO CASALS,x,,
GUSTAVO A. MADERO,PROVIDENCIA,"CALLE CONSTITUCION DE LA REPUBLICA Y COAHUILA NO. 1, COLONIA PROVIDENCIA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07550, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0147A,ESCUELA SECUNDARIA OTILIO EDMUNDO MONTAÑO SÁNCHEZ,x,,
IZTAPALAPA,LEYES DE REFORMA,"CALLE LEYES DE REFORMA Y GUERRA DE REFORMA S/N, COLONIA LEYES DE REFORMA, ALCALDÍA IZTAPALAPA, C.P. 09310, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0163S,ESCUELA SECUNDARIA FRANCISCO JAVIER MINA,x,,
CUAJIMALPA DE MORELOS,EL CONTADERO,"CALLE 16 DE SEPTIEMBRE NO. 51, COLONIA EL CONTADERO, ALCALDÍA CUAJIMALPA DE MORELOS, C.P. 05500, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0211L,ESCUELA SECUNDARIA ANTONIO CASTRO LEAL,x,,
IZTAPALAPA,ERMITA ZARAGOZA,"CALLE CHILPANCINGO SUR Y NORTE S/N, UNIDAD HABITACIONAL ERMITA ZARAGOZA, ALCALDÍA IZTAPALAPA, C.P. 09180, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0214I,ESCUELA SECUNDARIA CARLOS MARX,x,,
IZTAPALAPA,LA REGADERA,"CALLE AMERICA Y ESTEBAN CORONADO S/N, COLONIA LA REGADERA, ALCALDÍA IZTAPALAPA, C.P. 09250, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0235V,ESCUELA SECUNDARIA JOSÉ CLEMENTE OROZCO,x,,
AZCAPOTZALCO,EUZKADI,"CALLE JARDIN Y BOULEVARD DE FERROCARRIL S/N, COLONIA EUZKADI, ALCALDÍA AZCAPOTZALCO, C.P. 02660, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0242E,ESCUELA SECUNDARIA MARGARITA DE GORTARI CARVAJAL DE SALINAS,x,,
ALVARO OBREGÓN,COLINAS DEL SUR,"CALLE CORCELES Y CORRIDO S/N, COLONIA COLINAS DEL SUR, ALCALDÍA ALVARO OBREGÓN, C.P. 01430, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0243D,ESCUELA SECUNDARIA SECUNDARIA FEDERAL,x,,
IZTAPALAPA,SAN MIGUEL TEOTONGO TORRES MERCED,"CALLE TOMACOCO Y AVENIDA DE LAS TORRES Y LAS AMERICAS S/N, COLONIA SAN MIGUEL TEOTONGO TORRES MERCED, ALCALDÍA IZTAPALAPA, C.P. 09630, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0267N,ESCUELA SECUNDARIA TEODORO FLORES,x,,
IZTAPALAPA,LAS PEÑAS,"CALLE PLATON SANCHEZ Y CLAVEL S/N, COLONIA LAS PEÑAS, ALCALDÍA IZTAPALAPA, C.P. 09750, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0287A,ESCUELA SECUNDARIA JULIO VERNE,x,,
VENUSTIANO CARRANZA,AMPLIACION 20 DE NOVIEMBRE,"CALLE ANILLO DE CIRCUNVALACIÓN NO. 87, COLONIA AMPLIACION 20 DE NOVIEMBRE , ALCALDÍA VENUSTIANO CARRANZA, C.P. 15260, CIUDAD DE MÉXICO.",PRIMARIA,09DIX0017P,"ESCUELA PRIMARIA FRANCISCO I. MADERO ""INTERNADO 17""",x,,
GUSTAVO A. MADERO,SAN JUAN DE ARAGON,"CALLE 531 MANZANA 5 NO. 173, UNIDAD HABITACIONAL SAN JUAN DE ARAGON, ALCALDÍA GUSTAVO A. MADERO, C.P. 07920, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0180Z,JARDÍN DE NIÑOS MARIA CRISTINA VELASCO GARDUÑO,x,,
GUSTAVO A. MADERO,TEPEYAC INSURGENTES (XOCOMETLA),"CALLE HABANA Y MONTIEL S/N, COLONIA TEPEYAC INSURGENTES (XOCOMETLA), ALCALDÍA GUSTAVO A. MADERO, C.P. 07020, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0195A,JARDÍN DE NIÑOS 18 DE MARZO,x,,
AZCAPOTZALCO,DEL GAS,"CALLE CIPRES NO. 4110, COLONIA DEL GAS, ALCALDÍA AZCAPOTZALCO, C.P. 02950, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0217W,JARDÍN DE NIÑOS LIC. ALVARO GALVEZ Y FUENTES,x,,
ALVARO OBREGÓN,PILOTO ADOLFO LOPEZ MATEOS,"CALLE PUERTO KINO MANZANA A LOTE 3 Y 4 S/N, COLONIA PILOTO ADOLFO LOPEZ MATEOS, ALCALDÍA ALVARO OBREGÓN, C.P. 01290, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0236K,JARDÍN DE NIÑOS PAULO FREIRE,x,,
ALVARO OBREGÓN,AXOTLA,"CALLE PORVENIR NO. 29, PUEBLO AXOTLA, ALCALDÍA ALVARO OBREGÓN, C.P. 01030, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0521F,JARDÍN DE NIÑOS SILVESTRE REVUELTAS,x,,
ALVARO OBREGÓN,HERON PROAL,"CALLE CENTENARIO Y CALLE 1 S/N, COLONIA HERON PROAL, ALCALDÍA ALVARO OBREGÓN, C.P. 01640, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0673K,JARDÍN DE NIÑOS JOSÉ JOAQUIN FERNANDEZ DE LIZARDI,x,,
ALVARO OBREGÓN,ESTADO DE HIDALGO,"CALLE EL CHICO NO. 51, COLONIA ESTADO DE HIDALGO, ALCALDÍA ALVARO OBREGÓN, C.P. 01120, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0735G,JARDÍN DE NIÑOS ALFREDO B. NOBEL,x,,
CUAUHTÉMOC,CONDESA,"CALLE JUAN ESCUTIA NO. 112, COLONIA CONDESA, ALCALDÍA CUAUHTÉMOC, C.P. 06140, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0748K,JARDÍN DE NIÑOS UNIDAD ARTISTICA Y CULTURAL DEL BOSQUE,x,,
AZCAPOTZALCO,TEZOZOMOC,"CALLE TLAHUICAS S/N, COLONIA TEZOZOMOC, ALCALDÍA AZCAPOTZALCO, C.P. 02450, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0776G,JARDÍN DE NIÑOS AMANECER,x,,
ALVARO OBREGÓN,CAÑADA,"CALLE URBINA S/N, COLONIA CAÑADA, ALCALDÍA ALVARO OBREGÓN, C.P. 01200, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0841Q,JARDÍN DE NIÑOS DR. ARNOLD GESELL,x,,
