alcaldia,colonia,direccion,nivel,cct,escuela,aefcm,sectei,sobse
BENITO JUÁREZ,MODERNA,"CALLE  AMERICAS NO.  155, COLONIA MODERNA, ALCALDÍA BENITO JUÁREZ, C.P. 03510, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1290B,ESCUELA PRIMARIA HÉROES DE EL CARRIZAL,,,X
XOCHIMILCO,SAN LUCAS XOCHIMANCA,"CALLE CAMINO REAL DE SAN MATEO Y ACUEDUCTO  S/N, COLONIA SAN LUCAS XOCHIMANCA, ALCALDÍA XOCHIMILCO, C.P. 16300, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0180I,ESCUELA SECUNDARIA OCTAVIO PAZ,X,X,
BENITO JUÁREZ,MODERNA,"CALLE MIGUEL ANGEL  NO.  170, COLONIA MODERNA, ALCALDÍA BENITO JUÁREZ, C.P. 03510, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1265C,ESCUELA PRIMARIA JUAN MONTALVO,,,X
BENITO JUÁREZ,MODERNA,"CALLE MIGUEL ANGEL Y SANTA ANITA  S/N, COLONIA MODERNA, ALCALDÍA BENITO JUÁREZ, C.P. 03510, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0470P,JARDÍN DE NIÑOS  MARIA OROPEZA HERMIDA,,,X
COYOACÁN,CTM,"CALLE CARLOTA ARMERO Y MANUELA SAENZ Z 19  S/N, UNIDAD HABITACIONAL  CTM, ALCALDÍA COYOACÁN, C.P. 04430, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0119V,JARDÍN DE NIÑOS  AURORA ORTIZ DE MARQUEZ,X,,X
COYOACÁN,CTM CULHUACAN,"CALLE  DE LAS BOMBAS Y CAFETALES  S/N, UNIDAD HABITACIONAL  CTM CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0084Y,ESCUELA SECUNDARIA TÉCNICA  NO.  84,X,,X
COYOACÁN,CTM CULHUACAN SECCION VII,"CALLE REMEDIOS VALLE ZONA 7  S/N, UNIDAD HABITACIONAL   CTM CULHUACAN SECCION VII, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR4217N,ESCUELA PRIMARIA PROFR. JESUS SILVA HERZOG,,,X
IZTACALCO,VIADUCTO PIEDAD,"CALLE AV. CORUÑA NO.  325, COLONIA VIADUCTO PIEDAD, ALCALDÍA IZTACALCO, C.P. 08200, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1221F,ESCUELA PRIMARIA REPÚBLICA ESPAÑOLA,X,X,
COYOACÁN,CTM CULHUACAN VI SECCION,"CALLE 18  DE MANUELA SAENZ   S/N, UNIDAD HABITACIONAL   CTM CULHUACAN VI SECCION, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR3246B,ESCUELA PRIMARIA PROFRA. SUSANA ORTIZ SILVA,,,X
COYOACÁN,CTM CULHUACAN ZONA CINCO,"CALLE CAHITAS  S/N, UNIDAD HABITACIONAL  CTM CULHUACAN ZONA CINCO, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0614V,JARDÍN DE NIÑOS  LEOPOLDO MENDEZ,,,X
COYOACÁN,CTM SAN FRANCISCO CULHUACAN,"CALLE CARLOTA ARMERO  S/N, UNIDAD HABITACIONAL  CTM SAN FRANCISCO CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR0126V,ESCUELA PRIMARIA ESTEFANIA CASTAÑEDA,,,X
COYOACÁN,CTM SAN FRANCISCO CULHUACAN,"CALLE TERCER DE SANTA CECILIA  S/N, UNIDAD HABITACIONAL  CTM SAN FRANCISCO CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1037S,JARDÍN DE NIÑOS  ALBERTO TRUEBA URBINA,,,X
BENITO JUÁREZ,NARVARTE PONIENTE,"CALLE ESPERANZA  S/N, COLONIA NARVARTE PONIENTE, ALCALDÍA BENITO JUÁREZ, C.P. 03020, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0045D,ESCUELA SECUNDARIA MARÍA ENRIQUETA CAMARILLO,X,X,
COYOACÁN,CTM SECCION X,"CALLE  CAFETALES Y SANTO TOMAS  S/N, UNIDAD HABITACIOAL  CTM SECCION X, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR4198P,ESCUELA PRIMARIA CARLOS PELLICER,,,X
COYOACÁN,INFONAVIT CULHUACAN,"CALLE ROSA ZARAGOZA Y ROSA MARIA SIQUEIROS  S/N, UNIDAD HABITACIONAL   INFONAVIT CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0280H,ESCUELA SECUNDARIA MAX SHEIN,,,X
TLALPAN,EJIDOS DE PADIERNA,"CALLE TIZIMIN Y CELESTUN  S/N, COLONIA EJIDOS DE PADIERNA, ALCALDÍA TLALPAN, C.P. 14200, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0195K,ESCUELA SECUNDARIA TLAMACHIHUAPAN,X,X,
COYOACÁN,CTM CULHUACAN,"CALLE ESTACIONAMIENTO DE ROSA MARIA SEQUEIRA ZONA 18  S/N, UNIDAD HABITACIONAL CTM CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR4194T,ESCUELA PRIMARIA PABLO MARTÍNEZ  DEL RIO,,,X
TLÁHUAC,MIGUEL HIDALGO,"CALLE MUZIO CLEMENTE Y HERNANI (ANTES TERESITA)  S/N, COLONIA MIGUEL HIDALGO, ALCALDÍA TLÁHUAC, C.P. 13200, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0080B,ESCUELA SECUNDARIA TÉCNICA  NO.  80,X,X,
COYOACÁN,CTM CULHUACAN,"CALLE PRIMERA DE ROSA ZARAGOZA   S/N, UNIDAD HABITACIONAL  CTM CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR0128T,ESCUELA PRIMARIA PROFR. AVELINO BOLAÑOS PALACIOS,X,,X
COYOACÁN,CTM SAN FRANCISCO CULHUACAN,"CALLE HUATUSCO   S/N, UNIDAD HABITACIONAL CTM SAN FRANCISCO CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04400, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2544U,ESCUELA PRIMARIA GRAL. DE DIVISION MARCIANO GONZÁLEZ,,,X
COYOACÁN,CULHUACAN CTM SECCION VI,"CALLE PRV. MERCEDES ABREGO  S/N, COLONIA CULHUACAN CTM SECCION VI, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0413Y,JARDÍN DE NIÑOS  TONANTZIN,,,X
IZTAPALAPA,JUAN ESCUTIA,"CALLE GENERAL MANUEL CEPEDA PERAZA  NO.  41, COLONIA JUAN ESCUTIA, ALCALDÍA IZTAPALAPA, C.P. 09100, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1086R,ESCUELA PRIMARIA HÉROES DEL MOLINO DEL REY,X,,
COYOACÁN,PEDREGAL DE CARRASCO,"CALLE IMAN  NO.  580, COLONIA PEDREGAL DE CARRASCO, ALCALDÍA COYOACÁN, C.P. 04600, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1103A,JARDÍN DE NIÑOS  PROFR. JESUS CASTRO AGUNDEZ,,,X
COYOACÁN,SAN FRANCISCO CULHUACAN,"CALLE REMEDIOS VALLE Y MANUELA SAENZ  S/N, COLONIA SAN FRANCISCO CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04480, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0845M,JARDÍN DE NIÑOS  EJIDOS DE CULHUACAN,,,X
IZTAPALAPA,SECTOR POPULAR,"CALLE RODOLFO USIGLI Y CALZADA DE LA VIGA   S/N, COLONIA SECTOR POPULAR, ALCALDÍA IZTAPALAPA, C.P. 09060, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0037N,ESCUELA SECUNDARIA TÉCNICA  NO.  37,X,,
TLÁHUAC,LA NOPALERA (DEL MAR),"CALLE MANTARRAYA Y SABALO  S/N, COLONIA LA NOPALERA (DEL MAR), ALCALDÍA TLÁHUAC, C.P. 13220, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0205A,ESCUELA SECUNDARIA ALEJANDRO GRAHAM BELL,x,,
COYOACÁN,MANUEL ROMERO DE TERREROS,"CALLE SEGUNDA Y TERCERA  DE MOCTEZUMA  S/N, COLONIA MANUEL ROMERO DE TERREROS, ALCALDÍA COYOACÁN, C.P. 04310, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0064K,ESCUELA SECUNDARIA TÉCNICA  NO.  64,x,,
XOCHIMILCO,HUICHAPAN,"CALLE MARTIRES DE RIO BLANCO NO.  27, COLONIA HUICHAPAN, ALCALDÍA XOCHIMILCO, C.P. 16030, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2565G,"ESCUELA PRIMARIA ANDRÉS DELGADO ""EL GIRO""",x,,
IZTAPALAPA,SAN LORENZO XICOTENCATL,"CALLE BALBANERA NO.  4, COLONIA SAN LORENZO XICOTENCATL, ALCALDÍA IZTAPALAPA, C.P. 09130, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1002T,ESCUELA PRIMARIA PROFR. BRAULIO RODRÍGUEZ,x,,
CUAUHTÉMOC,TRANSITO,"CALLE SAN ANTONIO ABAD  NO.  15, COLONIA TRANSITO, ALCALDÍA CUAUHTÉMOC, C.P. 06820, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0114J,ESCUELA SECUNDARIA RAFAEL RAMÍREZ,x,,
COYOACÁN,SAN FRANCISCO CULHUACAN,"CALLE ESTACIONAMIENTO ROSA MARIA SEQUEIRA  Z 18  S/N, COLONIA SAN FRANCISCO CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04330, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1017E,JARDÍN DE NIÑOS  HEROES DE 1810,,,X
IZTAPALAPA,SANTA CRUZ MEYEHUALCO,"CALLE  6 Y CALLE 55  S/N, UNIDAD HABITACIONAL SANTA CRUZ MEYEHUALCO, ALCALDÍA IZTAPALAPA, C.P. 09290, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0098I,ESCUELA SECUNDARIA FEDERICO FROEBEL,x,,
IZTAPALAPA,LOS REYES,"CALLE CUAUHTEMOC NO.  54, AMPLIACION LOS REYES, ALCALDÍA IZTAPALAPA, C.P. 09840, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2908L,ESCUELA PRIMARIA CERRO DE LA ESTRELLA,x,,
COYOACÁN,SAN FRANCISCO CULHUACAN,"CALLE SANTA ANA Y CANAL NACIONAL  S/N, COLONIA SAN FRANCISCO CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04430, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0846L,JARDÍN DE NIÑOS  ROSA HELIA GARCÍA DELGADO,,,X
IZTAPALAPA,SAN FRANCISCO CULHUACAN,"CALLE BENITO JUAREZ Y CANAL NACIONAL  S/N, COLONIA SAN FRANCISCO CULHUACAN, ALCALDÍA IZTAPALAPA, C.P. 09800, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0206Z,ESCUELA SECUNDARIA ROBERTO KOCH,x,,
CUAUHTÉMOC,GUERRERO,"CALLE HEROES  NO.  25, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2379L,ESCUELA PRIMARIA DR. BELISARIO DOMÍNGUEZ,X,,X
CUAUHTÉMOC,GUERRERO,"CALLE LUNA NO.  131, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2497Z,ESCUELA PRIMARIA ESTADO DE CHIHUAHUA,,,X
CUAUHTÉMOC,GUERRERO,"CALLE ZARCO  NO.  55, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2427E,ESCUELA PRIMARIA ESTADO DE VERACRUZ,X,,X
CUAUHTÉMOC,GUERRERO,"CALLE FRANCISCO GONZALEZ BOCANEGRA  NO.  14, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06000, CIUDAD DE MÉXICO.",PRIMARIA,09DPR0901E,ESCUELA PRIMARIA ESTADO DE YUCATAN,,,X
CUAUHTÉMOC,GUERRERO,"CALLE VICENTE RIVA PALACIO NO.  59, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2435N,ESCUELA PRIMARIA FRANCISCO GONZÁLEZ BOCANEGRA,,,X
TLALPAN,BELISARIO DOMINGUEZ,"CALLE MARIA HERNANDEZ DE ZARCO NO.  14, UNIDAD HABITACIONAL BELISARIO DOMINGUEZ, ALCALDÍA TLALPAN, C.P. 14310, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2838G,ESCUELA PRIMARIA MARGARITA MAZA DE JUÁREZ,X,X,
CUAUHTÉMOC,GUERRERO,"CALLE PEDRO MORENO  Y HEROES NO.  141, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2441Y,ESCUELA PRIMARIA FRAY LUIS DE LEON,X,,X
CUAUHTÉMOC,GUERRERO,"CALLE HEROES  NO.  27, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2321L,ESCUELA PRIMARIA IGNACIO M. ALTAMIRANO,X,,X
CUAUHTÉMOC,GUERRERO,"CALLE LERDO NO.  174, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1136I,ESCUELA PRIMARIA ITALIA,,,X
CUAUHTÉMOC,GUERRERO,"CALLE HEROES  NO.  121, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2408Q,ESCUELA PRIMARIA REPÚBLICA DE HONDURAS,X,,X
CUAUHTÉMOC,GUERRERO,"CALLE RINCONADA ESTRELLA   S/N, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0023K,ESCUELA SECUNDARIA TÉCNICA  NO.  23,X,,X
ALVARO OBREGÓN,MOLINO DE ROSAS,"CALLE ROSA DE BENGALA Y DR. JOSE MONROY V.  S/N, COLONIA MOLINO DE ROSAS, ALCALDÍA ALVARO OBREGÓN, C.P. 01470, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1855Q,ESCUELA PRIMARIA ROMÁN SALDAÑA OROPESA,,X,
ALVARO OBREGÓN,OLIVAR DEL CONDE PRIMERA SECCION,"CALLE  CALLE 7 Y AVENIDA DEL ROSAL  S/N, COLONIA OLIVAR DEL CONDE PRIMERA SECCION, ALCALDÍA ALVARO OBREGÓN, C.P. 01400, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0134N,JARDÍN DE NIÑOS  YOLOXOCHITL,,X,
CUAUHTÉMOC,GUERRERO,"CALLE MAGNOLIA  NO.  175, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",SECUNDARIA,09DTV0070I,ESCUELA TELESECUNDARIA  MATILDE MONTOYA LAFRAGUA,X,,X
CUAUHTÉMOC,GUERRERO,"CALLE MOCTEZUMA  NO.  123, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0744O,JARDÍN DE NIÑOS  AMADO NERVO,,,X
CUAUHTÉMOC,GUERRERO,"CALLE HEROES  NO.  53, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0743P,JARDÍN DE NIÑOS  HERBERT SPENCER,,,X
CUAUHTÉMOC,GUERRERO,"CALLE FRANCISCO GONZALEZ BOCANEGRA  NO.  16, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0698T,JARDÍN DE NIÑOS  JAIME NUNO,,,X
CUAUHTÉMOC,GUERRERO,"CALLE  DE CAMELIA NO.  9, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0749J,JARDÍN DE NIÑOS  MA. DE LA LUZ RIVERA DE YSUNZA,,,X
BENITO JUÁREZ,NAPOLES,"CALLE NUEVA YORK Y PROLONGACION FILADELFIA  S/N, COLONIA NAPOLES, ALCALDÍA BENITO JUÁREZ, C.P. 03810, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0197I,ESCUELA SECUNDARIA CANADÁ,,X,
GUSTAVO A. MADERO,CAMPESTRE ARAGON,"CALLE PARQUE CENTRAL SUR Y CAMINO DEL ESFUERZO  S/N, COLONIA CAMPESTRE ARAGON, ALCALDÍA GUSTAVO A. MADERO, C.P. 07530, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1401Q,ESCUELA PRIMARIA PROFR. CARLOS B. MUNGUIA,X,,X
GUSTAVO A. MADERO,LOMAS DE CUAUTEPEC,"CALLE SAN MIGUEL Y LA ESCONDIDA  S/N, COLONIA LOMAS DE CUAUTEPEC, ALCALDÍA GUSTAVO A. MADERO, C.P. 07110, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2673O,ESCUELA PRIMARIA PROFR. RAMON ANDRADE CARMONA,X,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE SUR 16 NO.  366, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2898V,ESCUELA PRIMARIA ARQUELES VELA SALVATIERRA,X,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE SUR 20 NO.  380, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR3150P,ESCUELA PRIMARIA AUGUSTO COMTE,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE BORDO RIO CHURUBUSCO NO.  2117, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1003S,ESCUELA PRIMARIA BENITO FENTANES,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE ORIENTE 245 B NO.  35, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR0998G,ESCUELA PRIMARIA CALMECAC,X,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE SUR 12 NO.  145, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2610C,ESCUELA PRIMARIA DR. EDUARDO R. CORONEL,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE SUR 28  S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1091C,ESCUELA PRIMARIA GUILLERMO BONILLA S.,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE CANAL DE SAN JUAN NO.  315, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1079H,ESCUELA PRIMARIA JESUS T. ACEVEDO,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE ORIENTE 229 NO.  290, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2260O,ESCUELA PRIMARIA JOSÉ MANCISIDOR ORTIZ,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE SUR 16  S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1071P,ESCUELA PRIMARIA JUAN B MOLINA,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE ORIENTE 253  S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1067C,ESCUELA PRIMARIA LIC. JULIO JIMENEZ RUEDA,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE JAVIER ROJO GOMEZ NO.  324, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1052A,ESCUELA PRIMARIA PONCIANO QUIROZ HERRERA,X,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE JAVIER ROJO GOMEZ NO.  103, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1000V,ESCUELA PRIMARIA PROFR. CLAUDIO CORTES CASTRO,X,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE ORIENTE 245 B  S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1014Y,ESCUELA PRIMARIA TELPOCHCALLI,X,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE ORIENTE 233 NO.  398, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0220T,ESCUELA SECUNDARIA AGUSTÍN YÁNEZ,X,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE SUR 4 NO.  290, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0134X,ESCUELA SECUNDARIA LEANDRO VALLE,X,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE SUR 28  S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0055C,ESCUELA SECUNDARIA TÉCNICA  NO.  55,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE ORIENTE 233 Y CERRADA DE ORIENTE 233  S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0999P,JARDÍN DE NIÑOS  AMERICA LATINA,X,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE SUR 20   S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1200C,JARDÍN DE NIÑOS  CARMEN RAMOS DEL RIO,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE ANILLO PERIFERICO CANAL DE SAN JUAN   S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0855T,JARDÍN DE NIÑOS  ESTADO DE ZACATECAS,,,X
COYOACÁN,CAMPESTRE CHURUBUSCO,"CALLE CERRO DEL CRESTON Y CERRO MEZONTEPEC  S/N, COLONIA CAMPESTRE CHURUBUSCO, ALCALDÍA COYOACÁN, C.P. 04200, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0095L,ESCUELA SECUNDARIA VÍCTOR HUGO,,X,
IZTACALCO,AGRICOLA ORIENTAL,"CALLE ORIENTE 235 C  S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0542S,JARDÍN DE NIÑOS  FRANCISCO JAVIER MINA,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE SUR 4 A NO.  27, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0773J,JARDÍN DE NIÑOS  IGNACIO MANUEL ALTAMIRANO,,,X
IZTACALCO,AGRICOLA ORIENTAL,"CALLE ORIENTE 245 B Y SUR 16  S/N, COLONIA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0225E,JARDÍN DE NIÑOS  JOSÉ MARIA VELASCO,,,X
IZTACALCO,SANTA ANITA,"CALLE SABINOS NO.  100, COLONIA SANTA ANITA, ALCALDÍA IZTACALCO, C.P. 08300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2049U,ESCUELA PRIMARIA AURELIO MANRIQUE,X,,X
IZTACALCO,SANTA ANITA,"CALLE PROL. CANAL NACIONAL   S/N, COLONIA SANTA ANITA, ALCALDÍA IZTACALCO, C.P. 08300, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0001Z,ESCUELA SECUNDARIA TÉCNICA  NO.  1,,,X
IZTACALCO,SANTA ANITA,"CALLE JUAREZ NO.  29, COLONIA SANTA ANITA, ALCALDÍA IZTACALCO, C.P. 08300, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0785O,JARDÍN DE NIÑOS  CLUB DE LEONES IZTACALCO,,,X
IZTACALCO,SANTA ANITA,"CALLE CORREGIDORA Y COYUYA  S/N, COLONIA SANTA ANITA, ALCALDÍA IZTACALCO, C.P. 08300, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0326C,JARDÍN DE NIÑOS  XOCHITLALZIN,X,,X
IZTACALCO,UH. HNOS BLANCAS,"CALLE ORIENTE 245 NO.  562, COLONIA UH. HNOS BLANCAS, ALCALDÍA IZTACALCO, C.P. 08500, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0258F,ESCUELA SECUNDARIA LUIS ÁLVAREZ BARRET,,,X
IZTAPALAPA,MIXCOATL,"CALLE CHIMALPOPOCA NO.  1, COLONIA MIXCOATL, ALCALDÍA IZTAPALAPA, C.P. 09750, CIUDAD DE MÉXICO.",PRIMARIA,09DPR4203K,ESCUELA PRIMARIA MÉXICO-JAPÓN,X,,X
IZTAPALAPA,POPULAR ALVARO OBREGON,"CALLE BATALLA DE OCOTLAN  S/N, FRACCIONAMIENTO POPULAR ALVARO OBREGON, ALCALDÍA IZTAPALAPA, C.P. 09230, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0210M,ESCUELA SECUNDARIA EMILIO PORTES GIL,,,X
IZTAPALAPA,RENOVACION,"CALLE DE AVENIDA 4 PONIENTE Y 6 PONIENTE  S/N, COLONIA RENOVACION, ALCALDÍA IZTAPALAPA, C.P. 09209, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5063H,ESCUELA PRIMARIA TLALOC,,,X
IZTAPALAPA,RENOVACION,"CALLE 4 PONIENTE Y 6 PONIENTE  S/N, COLONIA RENOVACION, ALCALDÍA IZTAPALAPA, C.P. 09209, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1325K,JARDÍN DE NIÑOS  DR. ATL,,,X
