numero,codigo,alcaldia,colonia,direccion,nivel,cct,escuela
23,CT211,CUAUHTÉMOC,UH NONOALCO TLATELOLCO,"CALLE RICARDO FLORES MAGON  NO.  276, UNIDAD HABITACIONAL UH NONOALCO TLATELOLCO , ALCALDÍA CUAUHTÉMOC, C.P. 06900, CIUDAD DE MÉXICO.",ESPECIAL,09DML0068D,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 33
24,AO137,ALVARO OBREGÓN,HERON PROAL,"CALLE CENTENARIO Y CALLE 1  S/N, COLONIA HERON PROAL, ALCALDÍA ALVARO OBREGÓN, C.P. 01640, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0673K,JARDÍN DE NIÑOS  JOSÉ JOAQUIN FERNANDEZ DE LIZARDI
25,MH063,MIGUEL HIDALGO,LEGARIA,"CALLE LAGO ONTARIO Y LAGO WINNIPEG  S/N, COLONIA LEGARIA, ALCALDÍA MIGUEL HIDALGO, C.P. 11410, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1720B,ESCUELA PRIMARIA ESTADO DE GUERRERO
26,TP120,TLALPAN,SAN MIGUEL XICALCO,"CALLE EMILIANO ZAPATA NO.  69, COLONIA SAN MIGUEL XICALCO, ALCALDÍA TLALPAN, C.P. 14490, CIUDAD DE MÉXICO.",ESPECIAL,09DML0024G,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 69
27,GM135,GUSTAVO A. MADERO,LA PRADERA,"CALLE VOLCAN IZTACCIHUATL Y LOS PINOS NO.  90, COLONIA LA PRADERA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2566F,ESCUELA PRIMARIA JUAN JACOBO ROUSSEAU
28,AO060,ALVARO OBREGÓN,PILOTO ADOLFO LOPEZ MATEOS,"CALLE PUERTO KINO MANZANA A LOTE 3 Y 4  S/N, COLONIA PILOTO ADOLFO LOPEZ MATEOS, ALCALDÍA ALVARO OBREGÓN, C.P. 01290, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0236K,JARDÍN DE NIÑOS  PAULO FREIRE
29,GM309,GUSTAVO A. MADERO,SAN PEDRO EL CHICO,"CALLE NORTE 84 A NO.  6618, COLONIA SAN PEDRO EL CHICO, ALCALDÍA GUSTAVO A. MADERO, C.P. 07480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1474I,ESCUELA PRIMARIA ENRIQUE GONZÁLEZ MARTINEZ
30,AO181,ALVARO OBREGÓN,AXOTLA,"CALLE PORVENIR  NO.  29, PUEBLO AXOTLA, ALCALDÍA ALVARO OBREGÓN, C.P. 01030, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0521F,JARDÍN DE NIÑOS  SILVESTRE REVUELTAS
31,AO177,ALVARO OBREGÓN,COLINAS DEL SUR,"CALLE CORCELES Y CORRIDO  S/N, COLONIA COLINAS DEL SUR, ALCALDÍA ALVARO OBREGÓN, C.P. 01430, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0243D,ESCUELA SECUNDARIA SECUNDARIA FEDERAL
32,TP129,TLALPAN,SANTA URSULA XITLA,"CALLE SANTA URSULA NO.  22, COLONIA SANTA URSULA XITLA, ALCALDÍA TLALPAN, C.P. 14420, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2816V,ESCUELA PRIMARIA ESTADO DE QUERETARO
33,TP055,TLALPAN,CRUZ DEL FAROL,"CALLE SAUS TOSTADO   S/N, COLONIA CRUZ DEL FAROL, ALCALDÍA TLALPAN, C.P. 14248, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5100V,ESCUELA PRIMARIA JOSÉ MARIA CHAVEZ ANDRADE
34,GM382,GUSTAVO A. MADERO,NUEVA TENOCHTITLAN,"CALLE INGENIERO EDUARDO MOLINA Y ORIENTE 95  S/N, COLONIA NUEVA TENOCHTITLAN, ALCALDÍA GUSTAVO A. MADERO, C.P. 07890, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2203X,ESCUELA PRIMARIA PROFR. BENJAMIN GURROLA CARRERA
35,CY085,COYOACÁN,(SANTA CATARINA) VIVEROS DE COYOACAN,"CALLE CALLEJON TORRESCO No 7 , BARRIO (SANTA CATARINA) VIVEROS DE COYOACAN, ALCALDÍA COYOACÁN, C.P. 04010, CIUDAD DE MÉXICO.",ESPECIAL,09DML0087S,CENTRO DE ATENCIÓN MÚLTIPLE No. 92
36,MH018,MIGUEL HIDALGO,UN HOGAR PARA NOSOTROS,"CALLE MÉXICO. TACUBA NO.  75, COLONIA UN HOGAR PARA NOSOTROS, ALCALDÍA MIGUEL HIDALGO, C.P. 11330, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1839Z,ESCUELA PRIMARIA LUIS HIDALGO MONROY (ANEXA A LA EBNM)
37,CY056,COYOACÁN,ADOLFO RUIZ CORTINES,"CALLE TECACALO Y PEHUAME  S/N, COLONIA ADOLFO RUIZ CORTINES, ALCALDÍA COYOACÁN, C.P. 04630, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1958M,ESCUELA PRIMARIA LIBERAL
38,IC021,IZTACALCO,GRANJAS MEXICO,"CALLE AZAFRAN ENTRE BREA Y CHICLE NO.  152, COLONIA GRANJAS MÉXICO., ALCALDÍA IZTACALCO, C.P. 08400, CIUDAD DE MÉXICO.",INICIAL,09DDI0022N,ESCUELA DE EDUCACIÓN INICIAL CAI SEP NO 22 ANTON MAKARENKO
39,AZ003,AZCAPOTZALCO,EUZKADI,"CALLE  JARDIN Y BOULEVARD DE FERROCARRIL  S/N, COLONIA EUZKADI, ALCALDÍA AZCAPOTZALCO, C.P. 02660, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0242E,ESCUELA SECUNDARIA MARGARITA DE GORTARI CARVAJAL DE SALINAS
40,CJ044,CUAJIMALPA DE MORELOS,GRANJAS NAVIDAD,"CALLE HERMANDAD Y EBANO   S/N, COLONIA GRANJAS NAVIDAD, ALCALDÍA CUAJIMALPA DE MORELOS, C.P. 05210, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0048T,ESCUELA SECUNDARIA TÉCNICA  NO.  48
41,GM370,GUSTAVO A. MADERO,SAN JUAN DE ARAGON,"CALLE 585 NO.  28, UNIDAD HABITACIONAL SAN JUAN DE ARAGON, ALCALDÍA GUSTAVO A. MADERO, C.P. 07920, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1542P,ESCUELA PRIMARIA MOCTEZUMA ILHUICAMINA
42,CJ018,CUAJIMALPA DE MORELOS,CUAJIMALPA,"CALLE ZARCO  NO.  1, COLONIA CUAJIMALPA, ALCALDÍA CUAJIMALPA DE MORELOS, C.P. 05000, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1827U,ESCUELA PRIMARIA JOSÉ LUIS VIEYRA GONZÁLEZ
43,CJ029,CUAJIMALPA DE MORELOS,ZENTLAPATL,"CALLE PUERTO MÉXICO. NO.  134, COLONIA ZENTLAPATL, ALCALDÍA CUAJIMALPA DE MORELOS, C.P. 05010, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5039H,ESCUELA PRIMARIA QUETZALCOATL
44,TH067,TLÁHUAC,GUADALUPE TLALTENCO,"CALLE OJO DE AGUA Y ALVARO OBREGON  S/N, COLONIA GUADALUPE TLALTENCO, ALCALDÍA TLÁHUAC, C.P. 13000, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0154K,ESCUELA SECUNDARIA REPÚBLICA DE CUBA
45,AZ153,AZCAPOTZALCO,PORVENIR,"CALLE FERROCARRIL INDUSTRIAL (ACTUALMENTE ANTONIO VALERIANO) Y PROLONGACION 30  S/N, AMPLIACION  PORVENIR, ALCALDÍA AZCAPOTZALCO, C.P. 02940, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0115I,ESCUELA SECUNDARIA IVÁN PETROVICH PAVLOV
46,MH007,MIGUEL HIDALGO,UN HOGAR PARA NOSOTROS,"CALLE MÉXICO. TACUBA NO.  215, COLONIA UN HOGAR PARA NOSOTROS, ALCALDÍA MIGUEL HIDALGO, C.P. 11330, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0015J,ESCUELA SECUNDARIA ALBERT EINSTEIN
47,AO162,ALVARO OBREGÓN,EL POCITO,"CALLE CAPULA   S/N, COLONIA EL POCITO, ALCALDÍA ALVARO OBREGÓN, C.P. 01280, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1868U,ESCUELA PRIMARIA PROFR. ERASTO VALLE ALCARAZ
48,CT166,CUAUHTÉMOC,NONOALCO TLATELOLCO,"CALLE LERDO  S/N, COLONIA  NONOALCO TLATELOLCO, ALCALDÍA CUAUHTÉMOC, C.P. 06900, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0016I,ESCUELA SECUNDARIA PEDRO DÍAZ
49,GM236,GUSTAVO A. MADERO,CUAUTEPEC EL ALTO,"CALLE PLAZA HIDALGO  S/N, COLONIA CUAUTEPEC EL ALTO, ALCALDÍA GUSTAVO A. MADERO, C.P. 07100, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0452Z,JARDÍN DE NIÑOS  REPÚBLICA MEXICANA
50,GM219,GUSTAVO A. MADERO,EL COYOL,"CALLE 298 A ENTRE 309 Y 311  S/N, UNIDAD HABITACIONAL EL COYOL, ALCALDÍA GUSTAVO A. MADERO, C.P. 07420, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0451A,JARDÍN DE NIÑOS  PROFRA. RAMONA MARTÍNEZ  ARCOS
51,GM273,GUSTAVO A. MADERO,CAMPESTRE ARAGON,"CALLE PARQUE CENTRAL  S/N, COLONIA CAMPESTRE ARAGON, ALCALDÍA GUSTAVO A. MADERO, C.P. 07530, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0460I,JARDÍN DE NIÑOS  WOLFGANG AMADEUS MOZART
52,TP075,TLALPAN,BELVEDERE,"CALLE BEKAL Y VENUNCIA  S/N, COLONIA BELVEDERE, ALCALDÍA TLALPAN, C.P. 14720, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1220Q,JARDÍN DE NIÑOS  NEZCALTILOYAN
53,AZ071,AZCAPOTZALCO,PASTEROS,"CALLE JACARANDAS Y DURAZNOS  S/N, COLONIA PASTEROS, ALCALDÍA AZCAPOTZALCO, C.P. 02150, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0310B,JARDÍN DE NIÑOS  JOSEFINA CASTAÑEDA Y DEL POZO
54,AZ109,AZCAPOTZALCO,SAN PABLO XALPA,"CALLE SAN PABLO XALPA  NO.  434, UNIDAD HABITACINAL SAN PABLO XALPA, ALCALDÍA AZCAPOTZALCO, C.P. 02110, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1101C,JARDÍN DE NIÑOS  PROFRA. EMMA GODOY
55,BJ041,BENITO JUÁREZ,DEL VALLE,"CALLE MIER Y PESADO  NO.  245, COLONIA DEL VALLE, ALCALDÍA BENITO JUÁREZ, C.P. 03100, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0186T,JARDÍN DE NIÑOS  GUADALUPE VICTORIA
56,BJ073,BENITO JUÁREZ,INDEPENDENCIA,"CALLE SERAFIN OLARTE  NO.  196, COLONIA INDEPENDENCIA, ALCALDÍA BENITO JUÁREZ, C.P. 03630, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0432M,JARDÍN DE NIÑOS  MARIANO MATAMOROS
57,BJ114,BENITO JUÁREZ,PERIODISTAS,"CALLE BOLIVAR  NO.  1102, COLONIA PERIODISTAS, ALCALDÍA BENITO JUÁREZ, C.P. 03620, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0474L,JARDÍN DE NIÑOS  LAS ROSAS
58,CY018,COYOACÁN,AVANTE,"CALLE  DEL PARQUE (Y RETORNO 37)  S/N, COLONIA AVANTE, ALCALDÍA COYOACÁN, C.P. 04460, CIUDAD DE MÉXICO.",INICIAL,09DDI0029G,ESCUELA DE EDUCACIÓN INICIAL CAI SEP NO 29 JUSTO SIERRA
59,CY132,COYOACÁN,CAMPESTRE CHURUBUSCO,"CALLE CERRO GORDO  NO.  125, COLONIA CAMPESTRE CHURUBUSCO, ALCALDÍA COYOACÁN, C.P. 04220, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0496X,JARDÍN DE NIÑOS  FRANCISCO MARQUEZ
60,CY115,COYOACÁN,SAN FRANCISCO CULHUACAN,"CALLE EJIDO SAN PEDRO XALPA Y TOMATLAN  S/N, COLONIA SAN FRANCISCO CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04420, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0849I,JARDÍN DE NIÑOS  COLHUACAN
61,CY069,COYOACÁN,PEDREGAL DE CARRASCO,"CALLE  PANAMERICANA QUINTA SECCION  S/N, COLONIA PEDREGAL DE CARRASCO, ALCALDÍA COYOACÁN, C.P. 04700, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0419S,JARDÍN DE NIÑOS  PILTZINTECUTLI
62,CT180,CUAUHTÉMOC,EX-HIPODROMO DE PERALVILLO,"CALLE  FRANCOIS GOUNOD   S/N, COLONIA EX-HIPODROMO DE PERALVILLO, ALCALDÍA CUAUHTÉMOC, C.P. 06250, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0035N,JARDÍN DE NIÑOS  REP. DE COLOMBIA
63,CT148,CUAUHTÉMOC,ROMA NORTE,"CALLE COLIMA  NO.  229, COLONIA ROMA NORTE, ALCALDÍA CUAUHTÉMOC, C.P. 06700, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0716S,JARDÍN DE NIÑOS  MA. GUADALUPE DE ALBA
64,GM128,GUSTAVO A. MADERO,LOMA DE LA PALMA,"CALLE FRANCISCO VILLA ESQUINA ESTADO DE MÉXICO.  S/N, COLONIA LOMA DE LA PALMA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07160, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1256E,JARDÍN DE NIÑOS  JORGE LUIS BORGES
65,GM159,GUSTAVO A. MADERO,LINDAVISTA VALLEJO,"CALLE PONIENTE 150 MANZANA 1  S/N, UNIDAD HABITACIONAL LINDAVISTA VALLEJO, ALCALDÍA GUSTAVO A. MADERO, C.P. 07720, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0340W,JARDÍN DE NIÑOS  LUXEMBURGO
66,GM144,GUSTAVO A. MADERO,NUEVA VALLEJO,"CALLE NORTE 13 A NO.  5331, COLONIA NUEVA VALLEJO, ALCALDÍA GUSTAVO A. MADERO, C.P. 07750, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0179J,JARDÍN DE NIÑOS  LEONA VICARIO
67,MG016,LA MAGDALENA CONTRERAS,LA CONCEPCION,"CALLE CAMINO REAL DE CONTRERAS  S/N, COLONIA LA CONCEPCION, ALCALDÍA LA MAGDALENA CONTRERAS, C.P. 10830, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0459T,JARDÍN DE NIÑOS  C.A.S.I. MORELOS
68,MH114,MIGUEL HIDALGO,ESCANDON,"CALLE SALVADOR ALVARADO NO.  71, COLONIA ESCANDON, ALCALDÍA MIGUEL HIDALGO, C.P. 11800, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0476J,JARDÍN DE NIÑOS  MTRO. TEODOMIRO MANZANO
69,MH103,MIGUEL HIDALGO,REFORMA SOCIAL,"CALLE 1 NO.  3, COLONIA REFORMA SOCIAL, ALCALDÍA MIGUEL HIDALGO, C.P. 11650, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0122I,JARDÍN DE NIÑOS  MA. TERESA VAZQUEZ
70,MA028,MILPA ALTA,SAN LORENZO TLACOYUCAN,"CALLE VICENTE GUERRERO  S/N, COLONIA SAN LORENZO TLACOYUCAN, ALCALDÍA MILPA ALTA, C.P. 12500, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0292C,JARDÍN DE NIÑOS  REFUGIO PACHECO DE LÓPEZ PORTILLO
71,TH010,TLÁHUAC,SAN FRANCISCO TLALTENCO,"CALLE QUINTANA ROO Y GUERRERO  S/N, COLONIA SAN FRANCISCO TLALTENCO, ALCALDÍA TLÁHUAC, C.P. 13400, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0485R,JARDÍN DE NIÑOS  CHALCHIUHTLICUE
72,TH008,TLÁHUAC,GRANJAS CABRERA,"CALLE JOSE LUGO GUERRERO Y LA TURBA  S/N, COLONIA GRANJAS CABRERA, ALCALDÍA TLÁHUAC, C.P. 13230, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0612X,JARDÍN DE NIÑOS  BRIGIDA GARCÍA DE JUÁREZ
73,XC023,XOCHIMILCO,SANTIAGO TEPALCATLAPAN,"CALLE DEL TRABAJO Y CUAUHTEMOC  S/N, COLONIA SANTIAGO TEPALCATLAPAN, ALCALDÍA XOCHIMILCO, C.P. 16200, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2026J,ESCUELA PRIMARIA CRISTÓBAL COLÓN
74,TP078,TLALPAN,MIGUEL HIDALGO PRIMERA SECCION,"CALLE UNIDAD HABITACIONAL FUENTES BROTANTES, ATRAS DEL BLOQUE I  S/N, COLONIA MIGUEL HIDALGO PRIMERA SECCION, ALCALDÍA TLALPAN, C.P. 14410, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5018V,ESCUELA PRIMARIA PATRIA Y LIBERTAD
75,AZ100,AZCAPOTZALCO,LA PRECIOSA,"CALLE CIPACTLI Y HUITZILIHUITL   S/N, COLONIA LA PRECIOSA, ALCALDÍA AZCAPOTZALCO, C.P. 02460, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2129F,ESCUELA PRIMARIA PABLO NERUDA
76,CT021,CUAUHTÉMOC,SANTA MARIA LA RIBERA,"CALLE CEDRO  NO.  348, COLONIA SANTA MARIA LA RIBERA, ALCALDÍA CUAUHTÉMOC, C.P. 06400, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2501W,ESCUELA PRIMARIA AUGUSTO CESAR SANDINO
77,CY140,COYOACÁN,SAN FRANCISCO CULHUACAN,"CALLE EJIDO DE SANTA URSULA  NO.  105, COLONIA SAN FRANCISCO CULHUACAN, ALCALDÍA COYOACÁN, C.P. 04420, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2871O,ESCUELA PRIMARIA ING. JOSÉ LÓPEZ PORTILLO Y WEBER
78,TP044,TLALPAN,MIGUEL HIDALGO FUENTES,"CALLE SAN JUAN DEL RIO NO.  22, COLONIA MIGUEL HIDALGO FUENTES, ALCALDÍA TLALPAN, C.P. 14410, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5017W,ESCUELA PRIMARIA GENERAL DONATO GUERRA
79,CY167,COYOACÁN,AJUSCO,"CALLE REY TOPILTZIN   S/N, COLONIA AJUSCO, ALCALDÍA COYOACÁN, C.P. 04300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2974K,ESCUELA PRIMARIA PROFR. VICTORIANO GUZMÁN
80,GM272,GUSTAVO A. MADERO,SAN JUAN DE ARAGON,"CALLE 563 PLAZA 10  S/N, UNIDAD HABITACIONAL SAN JUAN DE ARAGON, ALCALDÍA GUSTAVO A. MADERO, C.P. 07969, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1445N,ESCUELA PRIMARIA WINSTON CHURCHILL
81,IC020,IZTACALCO,INFONAVIT IZTACALCO,"CALLE VEREDAS NO.  20, UNIDAD HABITACIONAL INFONAVIT IZTACALCO, ALCALDÍA IZTACALCO, C.P. 08900, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2899U,ESCUELA PRIMARIA CARTA DE LOS DERECHOS Y DEBERES ECONOMICOS DE LOS ESTADOS
82,IC076,IZTACALCO,INPI PICOS,"CALLE CIRCUITO INTERIOR RIO CHURUBUSCO  S/N, COLONIA INPI PICOS, ALCALDÍA IZTACALCO, C.P. 08760, CIUDAD DE MÉXICO.",PRIMARIA,09DPR0855J,ESCUELA PRIMARIA LIC. ALVARO GALVEZ Y FUENTES
83,CT124,CUAUHTÉMOC,GUERRERO,"CALLE SOL  NO.  116, COLONIA GUERRERO, ALCALDÍA CUAUHTÉMOC, C.P. 06300, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5088Q,ESCUELA PRIMARIA JOSÉ GOROSTIZA
84,CY003,COYOACÁN,COPILCO EL BAJO,"CALLE VICTORIA  NO.  17, COLONIA COPILCO EL BAJO, ALCALDÍA COYOACÁN, C.P. 04340, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1941M,ESCUELA PRIMARIA 21 DE AGOSTO DE 1944
85,CT112,CUAUHTÉMOC,ROMA NORTE,"CALLE DURANGO  NO.  100, COLONIA ROMA NORTE, ALCALDÍA CUAUHTÉMOC, C.P. 06700, CIUDAD DE MÉXICO.",PRIMARIA,09DPR3132Z,ESCUELA PRIMARIA IGNACIO L. VALLARTA
86,TH091,TLÁHUAC,SELENE,"CALLE MAR DE LOS VAPORES Y CRATER KEPLER  S/N, AMPLIACION SELENE, ALCALDÍA TLÁHUAC, C.P. 13420, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1057F,JARDÍN DE NIÑOS  YOACALLI
87,TH060,TLÁHUAC,MIGUEL HIDALGO,"CALLE DON GIOVANNI Y NICOLAS CHAMPION  S/N, COLONIA MIGUEL HIDALGO, ALCALDÍA TLÁHUAC, C.P. 13200, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2576M,ESCUELA PRIMARIA PROFR. URBANO LAVIN ROMÁN
88,MH098,MIGUEL HIDALGO,POPOTLA,"CALLE MAR ARAFURA NO.  6, COLONIA POPOTLA, ALCALDÍA MIGUEL HIDALGO, C.P. 11400, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1701N,ESCUELA PRIMARIA LEOPOLDO E. CAMARENA
89,VC022,VENUSTIANO CARRANZA,JARDIN BALBUENA,"CALLE EJE 3 SUR  MORELOS  NO.  639, COLONIA JARDIN BALBUENA , ALCALDÍA VENUSTIANO CARRANZA, C.P. 15900, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0075Y,ESCUELA SECUNDARIA DIONISIA ZAMORA PALLARES
90,TP136,TLALPAN,HEROES DE PADIERNA,"CALLE HUEHUETAN Y TIZIMIN NO.  230, COLONIA HEROES DE PADIERNA, ALCALDÍA TLALPAN, C.P. 14200, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1863Z,ESCUELA PRIMARIA JACINTO CANEK
91,TP020,TLALPAN,POPULAR SANTA TERESA,"CALLE YOBAIN MANZANA 26  S/N, COLONIA POPULAR SANTA TERESA, ALCALDÍA TLALPAN, C.P. 14160, CIUDAD DE MÉXICO.",ESPECIAL,09DML0011C,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 64
92,GM296,GUSTAVO A. MADERO,ESTANZUELA,"CALLE GENERAL MARIANO SALAS Y CANTERA  S/N, COLONIA ESTANZUELA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07060, CIUDAD DE MÉXICO.",ESPECIAL,09DML0081Y,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 18
93,TP132,TLALPAN,VILLA LAZARO CARDENAS,"CALLE CLUB UNIVERSIDAD NACIONAL NO.  300, COLONIA VILLA LAZARO CARDENAS, ALCALDÍA TLALPAN, C.P. 14370, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2234Q,ESCUELA PRIMARIA GRAL. LAZARO CARDENAS DEL RIO
94,CY099,COYOACÁN,DEL CARMEN,"CALLE GENERAL ANAYA  NO.  287, COLONIA DEL CARMEN, ALCALDÍA COYOACÁN, C.P. 04100, CIUDAD DE MÉXICO.",ESPECIAL,09DML0108O,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 90
95,AZ093,AZCAPOTZALCO,PETROLERA,"CALLE  FAJA DE ORO   S/N, COLONIA PETROLERA, ALCALDÍA AZCAPOTZALCO, C.P. 02480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1647J,ESCUELA PRIMARIA MI PATRIA ES PRIMERO
96,GM205,GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA,"CALLE FELIX ROMERO NO.  60, COLONIA CONSTITUCION DE LA REPUBLICA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07469, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1540R,ESCUELA PRIMARIA PROFR. MOISES SAENZ
97,GM320,GUSTAVO A. MADERO,SAN JUAN DE ARAGON SEXTA SECCION,"CALLE 414 A Y CALLE 1537 Y 1543  S/N, COLONIA SAN JUAN DE ARAGON SEXTA SECCION, ALCALDÍA GUSTAVO A. MADERO, C.P. 07920, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0071U,ESCUELA SECUNDARIA TÉCNICA  NO.  71
98,MH041,MIGUEL HIDALGO,NEXTITLA (POPOTLA),"CALLE FERROCARRIL CUERNAVACA Y MAR MEDITERRANEO NO.  242, COLONIA NEXTITLA (POPOTLA), ALCALDÍA MIGUEL HIDALGO, C.P. 11400, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0263R,ESCUELA SECUNDARIA DEPORTE PARA TODOS
99,AZ181,AZCAPOTZALCO,FRANCISCO I. MADERO,"CALLE VICTOR HERNANDEZ COVARRUBIAS  S/N, UNIDAD HABITACINAL  FRANCISCO I. MADERO, ALCALDÍA AZCAPOTZALCO, C.P. 02420, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0219U,JARDÍN DE NIÑOS  TEMACHTIANI
100,CT023,CUAUHTÉMOC,ROMA SUR,"CALLE JALAPA  NO.  272, COLONIA ROMA SUR, ALCALDÍA CUAUHTÉMOC, C.P. 06760, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0729W,JARDÍN DE NIÑOS  BENITO JUÁREZ
101,GM034,GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA,"CALLE FERROCARRIL HIDALGO EJE 1 ORIENTE NO.  1129, COLONIA CONSTITUCION DE LA REPUBLICA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07469, CIUDAD DE MÉXICO.",INICIAL,09DDI0019Z,ESCUELA DE EDUCACIÓN INICIAL CAI SEP NO 19 ANA SULLIVAN MACY
102,XC045,XOCHIMILCO,SANTA CRUZ XOCHITEPEC,"CALLE SANTIAGO  S/N, COLONIA SANTA CRUZ XOCHITEPEC, ALCALDÍA XOCHIMILCO, C.P. 16100, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0638E,JARDÍN DE NIÑOS  JOSÉ MARTI
103,IC153,IZTACALCO,INPI PICOS,"CALLE CIRCUITO INTERIR RIO CHURUBUSCO  S/N, COLONIA INPI PICOS, ALCALDÍA IZTACALCO, C.P. 08760, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0148Z,ESCUELA SECUNDARIA LAO-TSE
104,CT065,CUAUHTÉMOC,CENTRO,"CALLE MIXCALCO  NO.  6, COLONIA CENTRO, ALCALDÍA CUAUHTÉMOC, C.P. 06020, CIUDAD DE MÉXICO.",ESPECIAL,09DML0072Q,"ESCUELA DE EDUCACION ESPECIAL - CAM ESCUELA NACIONAL PARA CIEGOS ""LIC IGNACIO TRIGUEROS"""
105,MA016,MILPA ALTA,SAN PABLO OZTOTEPEC,"CALLE GUERRERO  S/N, COLONIA SAN PABLO OZTOTEPEC, ALCALDÍA MILPA ALTA, C.P. 12400, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0018Z,ESCUELA SECUNDARIA TÉCNICA  NO.  18
