numero,codigo,alcaldia,colonia,direccion,nivel,cct,escuela
148,GM179,GUSTAVO A. MADERO,TICOMAN,"CALLE 27 DE SEPTIEMBRE MANZANA 26 B  S/N, COLONIA TICOMAN, ALCALDÍA GUSTAVO A. MADERO, C.P. 07330, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0343T,JARDÍN DE NIÑOS  MIGUEL RAMOS ARIZPE
149,MH110,MIGUEL HIDALGO,PENSIL,"CALLE LAGO CONSTANZA NO.  43, COLONIA PENSIL, ALCALDÍA MIGUEL HIDALGO, C.P. 11450, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0792Y,JARDÍN DE NIÑOS  MÉXICO
150,TP071,TLALPAN,EX HACIENDA COAPA,"CALLE TENORIOS NO.  222, COLONIA EX HACIENDA COAPA, ALCALDÍA TLALPAN, C.P. 14300, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0295Z,JARDÍN DE NIÑOS  MIGUEL ANGEL BUONARROTI
151,GM074,GUSTAVO A. MADERO,ZONA ESCOLAR,"CALLE GABRIEL GUERRA  S/N, COLONIA ZONA ESCOLAR, ALCALDÍA GUSTAVO A. MADERO, C.P. 07330, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0871K,JARDÍN DE NIÑOS  EL ARBOLILLO
152,IP094,IZTAPALAPA,SANTA MARTHA ACATITLA,"CALLE FRANCISCO I. MADERO NO.  3, COLONIA SANTA MARTHA ACATITLA, ALCALDÍA IZTAPALAPA, C.P. 09510, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2088W,ESCUELA PRIMARIA DR. MANUEL GAMIO
153,CT073,CUAUHTÉMOC,CENTRO,"CALLE REPUBLICA DE GUATEMALA NO.  64, COLONIA CENTRO, ALCALDÍA CUAUHTÉMOC, C.P. 06020, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0063L,ESCUELA SECUNDARIA TÉCNICA  NO. 63
154,AO167,ALVARO OBREGÓN,SAN ANGEL,"CALLE JOSE DE TERESA  NO.  107, COLONIA SAN ANGEL, ALCALDÍA ALVARO OBREGÓN, C.P. 01000, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0681T,JARDÍN DE NIÑOS  PROFRA. ELSA CASTRO ULLOA
155,CY186,COYOACÁN,SAN LUCAS,"CALLE ANTIGUA TAXQUEÑA  NO.  139, COLONIA SAN LUCAS, ALCALDÍA COYOACÁN, C.P. 04330, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0820D,JARDÍN DE NIÑOS  TOMAS MIER GARCÍA
156,GM203,GUSTAVO A. MADERO,25 DE JULIO,"CALLE JUAREZ Y CUAUHTEMOC  S/N, COLONIA 25 DE JULIO, ALCALDÍA GUSTAVO A. MADERO, C.P. 07520, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0202U,JARDÍN DE NIÑOS  PROFR. LUIS DE LA BRENA
157,TH085,TLÁHUAC,SANTA CECILIA,"CALLE RAMON CARDONA NO.  8, COLONIA SANTA CECILIA, ALCALDÍA TLÁHUAC, C.P. 13010, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0654W,JARDÍN DE NIÑOS  TUTUL-XIU
158,MH026,MIGUEL HIDALGO,GRANADA,"CALLE LAGO BANGUEOLO PLANTA BAJA NO.  24, COLONIA GRANADA, ALCALDÍA MIGUEL HIDALGO, C.P. 11520, CIUDAD DE MÉXICO.",ESPECIAL,09DML0092D,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 1
159,AZ081,AZCAPOTZALCO,EL RECREO,"CALLE CAMINO DEL RECREO  NO.  40, COLONIA EL RECREO, ALCALDÍA AZCAPOTZALCO, C.P. 02070, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1599Q,ESCUELA PRIMARIA LIC. AQUILES ELORDUY
160,GM108,GUSTAVO A. MADERO,GERTRUDIS SANCHEZ PRIMERA SECCION,"CALLE NORTE 84 A Y ORIENTE 115  S/N, COLONIA GERTRUDIS SANCHEZ PRIMERA SECCION, ALCALDÍA GUSTAVO A. MADERO, C.P. 07830, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1434H,ESCUELA PRIMARIA GRAL. GERTRUDIS G. SANCHEZ
